species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA,notes,,
Gopher Snake,9/14/2021,driving,BP,dead,yes,66,64,0,no, , , ,unknown,juv,no,0,0,no,no, ,,
Gopher Snake,5/6/2020,pit fall trap,cf,alive,no,77,48,0,no, ,11,29,unknown,juv,no,,,no,no,cold,,
Gopher Snake,5/12/2023 14:40,active search,Flipped under large rock. Very cold. Picked up before accurate body temp could be measured,alive,no,66,43,0,no,,,,unknown,YOY,no,0,0,no,no,Flipped under large rock. Very cold. Picked up before accurate body temp could be ,,
Gopher Snake,8/25/2020,incidental,Jl,alive,no,93,0,0,no,3D6.1D59A008F1,245,92,female,adult,no,,,no,no, ,,
Gopher Snake,7/6/2020,incidental,JL,alive,no,83,0,0,yes,3d6.1533c700e4,220,0,female,adult,yes,,,no,no, ,,
Gopher Snake,6/8/2022,driving,TS,dead,yes,83,0,0,no, ,178,68.5,unknown,adult,no,0,0,no,no, ,,
Gopher Snake,8/9/2023 18:16,reported,TS,alive,no,83,0,0,yes,3D6.1533E8C09E,114,92.1,male,adult,no,0,0,no,no,"Found in TTAC bathroom, SVL:78.7, Tail: 13.4",,
Gopher Snake,6/4/2020,incidental,NS,dead,yes,82,0,0,no, ,0,0,unknown,adult,no,,,no,no,2 dor gopher snakes one was juvenile 20 m west,,
Gopher Snake,6/4/2020,incidental,NS,dead,yes,81,0,0,no, ,0,0,unknown,adult,no,,,no,no,DOR,,
Gopher Snake,10/4/2021,driving,cf,dead,yes,81,0,0,no, , , ,unknown,adult,no,0,0,no,no, ,,
Gopher Snake,7/18/2023 15:46,driving,Liz Bergin,alive,no,81,0,0,yes,3D6.1533E8C0CD,188,94.9,female,adult,no,0,0,no,no,81.2svl13.7tail,,
Gopher Snake,5/18/2020,incidental,NGS,dead,yes,80,0,0,no, ,0,0,unknown,adult,no,,,no,no,Found dead on the road.,,
Gopher Snake,10/5/2022,driving,cf,alive,no,80,0,0,yes,3D6.1533E8C0D4,27,33.5,male,neonate,no,0,0,no,no,crossing road headed north,,
Gopher Snake,9/20/2023 17:00,incidental,em,alive,no,80,0,0,yes,3D6.1533E8C0A5,15,40.8,female,neonate,no,0,0,no,no,"possibly ran over tail. 46.9 total length, 6.1 tail ",,
Gopher Snake,5/28/2020,incidental,NS,dead,yes,78,0,0,no, ,0,0,unknown,juv,no,,,no,no,Snake found dead on the road.,,
Gopher Snake,6/6/2023 20:57,incidental,TS,alive,no,78,0,0,yes,3D6.1533E8C0E5,307,104.6,male,adult,no,0,0,no,no,"Found when responding to reported rattlesnake, was captured quickly before it could retreat under vehicle. Tail: 16.3, SVO: 88.3",,
Gopher Snake,10/7/2020,driving,cf,alive,no,77,0,0,no, ,0,0,unknown,neonate,no,,,no,no, ,,
Gopher Snake,6/10/2022,incidental,TS,alive,no,77,0,0,no, , , ,unknown,adult,no,0,0,no,no,Hissed extremely loudly and assumed intense defensive position,,
Gopher Snake,5/28/2020,incidental,NGS,alive,no,76,0,0,no, ,0,0,unknown,juv,no,,,no,no,Snake found crawling off the edge of the road.,,
Gopher Snake,6/1/2022,driving,TS,alive,no,76,0,0,no, , , ,unknown,adult,no,0,0,no,no,Witnessed red tailed Hawk attempt to take off with snake in talons as meal. Driving by scared off the Hawk and snake seemed relatively unharmed but quickly disappeared into the brush.,,
Gopher Snake,5/6/2020,incidental,NGS,alive,no,75,0,0,yes,3D6.1D59ABD1C7,531,110,female,adult,no,,,no,no,Underneath cover board,,
Gopher Snake,5/27/2021,reported,BP,alive,no,75,0,0,yes,3D9.1A4FA10623,301,104.3,male,adult,no,0,0,yes,no,found at afgahn village. reported by fire crew,,
Gopher Snake,8/10/2022,reported,TS,alive,no,75,0,0,yes,3D6.1533E8C0A6,36,48.5,male,juv,no,0,0,no,no,"Reported from LRC, found on gravel moving east, collected for processing",,
Gopher Snake,5/25/2021,driving,cf,alive,no,74,0,0,yes,3D9.1A4FA10712,309,101,male,adult,no,0,0,no,no,overcast,,
Gopher Snake,5/25/2021,driving,cf,alive,no,74,0,0,yes,3D6.1D596E5762,236,95.7,male,adult,yes,0,0,no,no,overcast,,
Gopher Snake,6/21/2022,driving,TS,dead,yes,74,0,0,no, ,20,39,unknown,juv,no,0,0,no,no,"Found DOR, recently deceased.",,
Gopher Snake,5/27/2020,incidental,JL,alive,no,73,0,0,no, ,0,0,unknown,unknown,no,,,no,no, ,,
Gopher Snake,5/23/2023 20:17,driving,Mahala,alive,no,73,0,0,yes,3D6.1533E8C106,415,99.8,male,adult,no,0,0,no,no,Full 117.4  tail 17.6,,
Gopher Snake,6/11/2020,incidental,NS,dead,yes,71,0,0,no, ,0,0,unknown,adult,no,,,no,no,DOR,,
Gopher Snake,4/30/2020,incidental,NGS,alive,no,71,0,0,yes,3D6.1D59ABD1BC,347,95,male,adult,no,,,no,no,Basking in the road.,,
Gopher Snake,5/22/2023 21:15,driving,TS,dead,yes,71,0,0,no,,,,unknown,adult,no,0,0,no,no,"Found DOR, collected specimen",,
Gopher Snake,7/22/2020,incidental,NS,dead,yes,70,0,0,no, ,0,0,unknown,unknown,no,,,no,no, ,,
Gopher Snake,10/4/2022,driving,cf,alive,no,70,0,0,yes,3D9.1A4FA1066A,100,64.6,female,adult,no,0,0,no,no,crossing road headed north,,
Gopher Snake,8/31/2023 15:41,incidental,Liz Bergin,alive,no,70,0,0,no,,,,unknown,adult,no,0,0,no,no,,,
Gopher Snake,5/21/2020,driving,cf,alive,no,69,0,0,no, ,0,0,unknown,juv,no,,,no,no, ,,
Gopher Snake,6/23/2020,driving,cf,alive,no,69,0,0,yes,3D6.1533C70106,256,96,male,adult,no,,,no,no,basking in road,,
Gopher Snake,6/12/2023 18:30,reported,TS,alive,no,69,0,0,yes,3D6.1533E8C0E7,417,95.8,female,adult,no,0,0,no,no,"81.7 svl 14.1 tail Reported by lodging, found roughly 2 feet behind another larger adult. Will be relocated towards Jordan River",,
Gopher Snake,10/16/2023 19:58,driving,cf,alive,no,69,0,0,yes,3D6.1533E8C14D,21,36.1,male,juv,no,0,0,no,no,Tail 5.8 ,,
Gopher Snake,6/12/2023 18:30,reported,TS,alive,no,69,0,0,yes,3D9.1A4FA106F2,461,108.9,male,adult,yes,0,0,no,no,"90.7 svl 18.2 tail Reported by lodging officials, apparently fifth gopher snake sighting in a week. Was found roughly 2 feet in front of another large gopher snake. Will be relocated towards Jordan River",,
Gopher Snake,9/23/2021,driving,cf,dead,yes,68,0,0,no, , , ,unknown,neonate,no,0,0,no,no,recently hit,,
Gopher Snake,9/23/2021,driving,cf,dead,yes,68,0,0,no, , , ,unknown,neonate,no,0,0,no,no,recently hit,,
Gopher Snake,9/28/2022,driving,TS,dead,yes,68,0,0,no, , , ,unknown,juv,no,0,0,no,no,"DOR, freshly dead.",,
Gopher Snake,10/3/2022,driving,cf,alive,no,68,0,0,yes,3D9.1A4FA1068B,188,83.2,male,adult,no,0,0,no,no,crossing road headed north,,
Gopher Snake,5/23/2023 16:54,driving,Erin,dead,no,68,0,0,no,,,,unknown,unknown,no,0,0,no,no,He was alive on the road but was basically dead by the time we got him back to camp.,,
Gopher Snake,5/23/2023 16:07,incidental,Mahala,alive,no,67,0,0,yes,3d6.1533e8c0a0,59,51.5,female,juv,no,0,0,no,no,Total 59.7 tail 8.2,,
Gopher Snake,5/28/2020,incidental,NGS,alive,no,66,0,0,no, ,0,0,unknown,juv,no,,,no,no,Snake found basking on the road.,,
Gopher Snake,5/28/2020,pit fall trap,NGS,alive,no,66,0,0,no, ,0,0,unknown,juv,no,,,no,no,Snake found in pit fall trap.,,
Gopher Snake,8/29/2023 13:20,driving,Liz Bergin,alive,no,66,0,0,no,,,,unknown,unknown,no,0,0,no,no,Crossing road. ,,
Gopher Snake,4/29/2020,incidental,NGS,alive,no,64,0,0,yes,3D6.1D59804811,300,100,male,adult,no,,,no,no,Basking on gravel road.,,
Gopher Snake,5/28/2021,driving,cf,dead,yes,64,0,0,no, ,0, ,unknown,juv,no,0,0,no,no,had just been hit. brought back to lab,,
Gopher Snake,5/25/2022,driving,cf,alive,no,64,0,0,yes,3D9.1A4FA106CF,270,79.7,female,adult,no,0,0,no,no, ,,
Gopher Snake,5/25/2022,driving,Cf,alive,no,64,0,0,yes,3D9.1A4FA1066D,443,111.8,male,adult,no,0,0,no,no,Tip of tail gone,,
Gopher Snake,9/6/2023 15:58,driving,cf,alive,no,64,0,0,yes,3D6.1533E8C0AD,44,89.9,male,juv,no,0,0,no,no,"Crossing road heading north. Total 99, tail 9.1 ",,
Gopher Snake,10/19/2023 18:57,driving,cf,dead,yes,62,0,0,no,,18,33,male,neonate,no,0,0,no,no,tail 5.7,,
Gopher Snake,9/9/2020,incidental,NS,dead,yes,61,0,0,no, ,0,0,unknown,juv,no,,,no,no, ,,
